,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,13,10,6,13,12,10,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,12,8,10,11,13,10,11,13,9,10,13,12,12,13,14,14,14,14,13,13,13,13,13,13,13,13
2,5,2,7,6,8,5,8,1,9,8,4,6,9,8,1,1,1,1,5,5,5,5,8,8,8,8
3,10,7,5,12,10,8,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,15,14,14,15,15,14,15,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
5,6,9,6,13,11,8,13,13,3,1,8,6,2,5,13,14,14,14,8,11,10,11,5,5,5,5
6,15,14,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,15,4,4,13,13,6,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,12,12,11,12,12,12,12,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,14,15,15,15,15,15,15,13,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,1,3,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,10,11,10,11,12,10,12,10,12,11,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14
16,13,14,11,14,12,13,13,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15
17,12,14,11,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
19,11,10,10,14,12,11,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,14,14,13,14,14,14,14,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
21,8,3,3,8,8,3,8,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,14,14,14,14,14,14,14,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
23,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,9,11,8,13,8,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,8,9,3,9,8,10,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,4,0,4,3,4,0,3,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0
27,9,9,9,13,13,10,12,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
28,12,11,13,14,13,12,14,15,15,15,15,15,15,15,14,14,14,14,15,15,15,14,15,15,15,15
29,5,7,2,7,3,7,6,14,14,13,15,15,14,15,13,13,14,14,15,15,15,15,15,15,15,15
30,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
