,0,Missclassifications,Error
a2,332,133,28.602150537634408
a3,314,151,32.473118279569896
a4,289,176,37.8494623655914
a23,367,98,21.0752688172043
a24,352,113,24.301075268817204
a34,322,143,30.752688172043012
a234,364,101,21.720430107526884
r2,388,77,16.559139784946236
r3,387,78,16.774193548387096
r4,369,96,20.64516129032258
r23,393,72,15.483870967741936
r24,395,70,15.053763440860216
r34,388,77,16.559139784946236
r234,397,68,14.623655913978494
r2_a2,396,69,14.838709677419356
r2_a23,401,64,13.763440860215054
r2_a24,402,63,13.548387096774194
r2_a234,401,64,13.763440860215054
r23_a2,398,67,14.408602150537634
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
