,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,12,6,6,13,12,9,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,13,8,10,12,13,9,12,13,10,10,13,12,12,13,14,14,14,14,13,13,13,13,13,13,13,13
2,2,2,7,3,6,4,7,1,9,8,4,6,9,8,1,1,1,1,5,5,5,5,8,8,8,8
3,9,6,4,12,9,9,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,15,15,13,15,15,14,15,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
5,6,9,5,13,11,7,13,13,3,1,8,6,2,5,14,14,14,14,9,11,9,11,5,5,5,5
6,15,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,14,5,3,12,12,5,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,12,12,9,12,12,12,12,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,15,15,14,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,14,15,15,15,15,15,15,13,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,10,11,10,11,12,10,12,9,12,11,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14
16,12,14,10,14,12,13,13,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15
17,12,15,12,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
19,12,10,11,13,13,11,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,14,14,13,14,14,14,14,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
21,8,4,2,8,8,3,8,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,14,13,14,14,14,13,14,15,15,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
23,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,9,8,10,9,9,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,5,9,2,10,8,10,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,4,0,3,3,4,1,3,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0
27,9,10,9,12,10,10,12,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
28,14,10,11,13,13,13,14,15,15,15,15,15,15,15,14,14,14,14,15,15,15,14,15,15,15,15
29,5,6,3,6,3,5,6,14,14,12,15,15,14,15,13,13,14,14,15,15,15,15,15,15,15,15
30,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
