,0,Missclassifications,Error
a2,327,138,29.67741935483871
a3,312,153,32.903225806451616
a4,288,177,38.064516129032256
a23,359,106,22.795698924731184
a24,348,117,25.161290322580644
a34,318,147,31.612903225806452
a234,365,100,21.50537634408602
r2,387,78,16.774193548387096
r3,388,77,16.559139784946236
r4,367,98,21.0752688172043
r23,393,72,15.483870967741936
r24,395,70,15.053763440860216
r34,387,78,16.774193548387096
r234,397,68,14.623655913978494
r2_a2,397,68,14.623655913978494
r2_a23,400,65,13.978494623655914
r2_a24,399,66,14.193548387096774
r2_a234,401,64,13.763440860215054
r23_a2,398,67,14.408602150537634
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
