,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,12,10,3,13,12,10,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
3,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,0,3,4,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,10,14,13,12,13,14,13,12,14,11,14,14,13,14,13,14,14,14,14,14,14,14,14,14,14,14
8,14,15,12,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
9,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
10,11,9,13,12,13,12,14,13,10,10,13,12,12,12,14,14,14,14,13,13,13,13,13,13,13,13
11,12,11,11,13,14,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
12,14,14,13,14,14,14,14,14,14,8,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14
13,8,5,4,8,9,4,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,14,14,13,14,14,15,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,7,10,8,10,9,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,7,4,2,11,9,8,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,4,0,3,3,4,1,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
19,8,11,7,11,10,9,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,6,1,5,6,11,5,10,3,10,9,5,8,10,8,4,4,4,4,6,5,6,5,8,9,8,8
21,4,8,3,7,3,9,7,14,14,12,15,15,14,15,13,13,14,15,15,15,15,15,15,15,15,15
22,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,11,7,6,12,11,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,15,15,14,15,15,15,15,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
25,6,8,9,13,12,11,13,13,3,1,10,7,2,5,14,14,14,14,10,12,12,12,5,5,5,5
26,15,7,9,15,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
27,12,12,12,12,12,12,12,15,15,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
