,0,Missclassifications,Error
a2,291,129,30.71428571428571
a3,283,137,32.61904761904762
a4,268,152,36.19047619047619
a23,322,98,23.333333333333332
a24,320,100,23.809523809523807
a34,306,114,27.142857142857142
a234,340,80,19.047619047619047
r2,350,70,16.666666666666664
r3,349,71,16.904761904761905
r4,330,90,21.428571428571427
r23,355,65,15.476190476190474
r24,354,66,15.714285714285714
r34,347,73,17.38095238095238
r234,352,68,16.19047619047619
r2_a2,355,65,15.476190476190474
r2_a23,359,61,14.523809523809524
r2_a24,361,59,14.047619047619047
r2_a234,362,58,13.809523809523808
r23_a2,356,64,15.238095238095237
r23_a23,357,63,15.0
r23_a24,358,62,14.761904761904761
r23_a234,357,63,15.0
r234_a2,353,67,15.95238095238095
r234_a23,354,66,15.714285714285714
r234_a24,353,67,15.95238095238095
r234_a234,353,67,15.95238095238095
