Unnamed: 0,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,2,8,3,4,4,8,5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,-2,3,8,0,-1,7,2,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,0,2,-3,0,3,-2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
0,0,4,2,1,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,12,2,8,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,1,4,6,6,5,6,4,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,0,0,1,0
0,3,7,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,-2,4,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3,0,5,-3,-1,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,5,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,0,3,0,0,0,0,0,0,-1,0,0,0,2,3,1,1,0,1,0,0,0,0,0,0
0,4,8,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,3,4,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,12,4,8,0,4,-1,-1,0,-1,-1,0,-1,-1,0,2,1,1,0,0,0,0,0,0,0,0
0,1,-2,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,1,-1,5,-2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,6,13,6,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,4,3,4,2,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,13,10,13,11,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,13,6,12,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,5,4,1,3,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,7,5,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,-2,3,3,-3,3,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
0,3,4,2,4,0,2,4,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0
0,4,2,4,3,4,3,2,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0
0,-2,5,-1,2,-4,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,1,1,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
