Unnamed: 0,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,1,7,2,3,2,5,4,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,0,2,6,-1,3,6,4,2,0,-1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,-2,0,2,-2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
0,-2,4,1,-1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,3,13,1,8,5,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,-3,2,7,2,2,3,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0
0,3,8,10,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,-2,4,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,-2,-3,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,5,10,5,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,8,2,7,2,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,0,0,0,0,0,0
0,6,7,7,4,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,3,4,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,12,2,7,-1,1,0,1,0,0,0,1,0,0,3,4,0,0,2,2,1,1,1,1,1,1
0,-1,-1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,3,0,1,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,2,-1,4,-1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,12,4,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,5,3,1,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,14,10,10,10,13,10,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,14,6,13,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,7,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,2,6,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,-5,3,2,-4,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
0,4,6,0,4,2,2,2,1,0,0,-1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0
0,3,4,5,1,2,4,1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0
0,-1,6,1,5,-3,5,2,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0
0,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
