,0,Missclassifications,Error
a2,333,132,28.387096774193548
a3,317,148,31.827956989247312
a4,289,176,37.8494623655914
a23,365,100,21.50537634408602
a24,353,112,24.086021505376344
a34,320,145,31.182795698924732
a234,369,96,20.64516129032258
r2,389,76,16.344086021505376
r3,388,77,16.559139784946236
r4,368,97,20.86021505376344
r23,393,72,15.483870967741936
r24,395,70,15.053763440860216
r34,388,77,16.559139784946236
r234,397,68,14.623655913978494
r2_a2,398,67,14.408602150537634
r2_a23,400,65,13.978494623655914
r2_a24,401,64,13.763440860215054
r2_a234,401,64,13.763440860215054
r23_a2,399,66,14.193548387096774
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
