,0,Missclassifications,Error
a2,331,134,28.817204301075268
a3,316,149,32.043010752688176
a4,288,177,38.064516129032256
a23,360,105,22.580645161290324
a24,351,114,24.516129032258064
a34,314,151,32.473118279569896
a234,361,104,22.365591397849464
r2,388,77,16.559139784946236
r3,388,77,16.559139784946236
r4,368,97,20.86021505376344
r23,393,72,15.483870967741936
r24,396,69,14.838709677419356
r34,390,75,16.129032258064516
r234,398,67,14.408602150537634
r2_a2,396,69,14.838709677419356
r2_a23,400,65,13.978494623655914
r2_a24,398,67,14.408602150537634
r2_a234,401,64,13.763440860215054
r23_a2,398,67,14.408602150537634
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
