,0,Missclassifications,Error
a2,237,228,49.03225806451613
a3,184,281,60.43010752688172
a4,148,317,68.17204301075269
a23,257,208,44.73118279569893
a24,260,205,44.086021505376344
a34,219,246,52.903225806451616
a234,284,181,38.924731182795696
r2,384,81,17.419354838709676
r3,384,81,17.419354838709676
r4,364,101,21.720430107526884
r23,389,76,16.344086021505376
r24,394,71,15.268817204301076
r34,384,81,17.419354838709676
r234,396,69,14.838709677419356
r2_a2,388,77,16.559139784946236
r2_a23,390,75,16.129032258064516
r2_a24,395,70,15.053763440860216
r2_a234,395,70,15.053763440860216
r23_a2,391,74,15.913978494623656
r23_a23,393,72,15.483870967741936
r23_a24,394,71,15.268817204301076
r23_a234,395,70,15.053763440860216
r234_a2,397,68,14.623655913978494
r234_a23,397,68,14.623655913978494
r234_a24,397,68,14.623655913978494
r234_a234,397,68,14.623655913978494
