,0,Missclassifications,Error
a2,160,305,65.59139784946237
a3,169,296,63.655913978494624
a4,200,265,56.98924731182796
a23,187,278,59.78494623655914
a24,213,252,54.193548387096776
a34,220,245,52.68817204301075
a234,220,245,52.68817204301075
r2,385,80,17.204301075268816
r3,385,80,17.204301075268816
r4,367,98,21.0752688172043
r23,390,75,16.129032258064516
r24,394,71,15.268817204301076
r34,388,77,16.559139784946236
r234,394,71,15.268817204301076
r2_a2,384,81,17.419354838709676
r2_a23,385,80,17.204301075268816
r2_a24,388,77,16.559139784946236
r2_a234,383,82,17.634408602150536
r23_a2,395,70,15.053763440860216
r23_a23,394,71,15.268817204301076
r23_a24,394,71,15.268817204301076
r23_a234,393,72,15.483870967741936
r234_a2,395,70,15.053763440860216
r234_a23,395,70,15.053763440860216
r234_a24,394,71,15.268817204301076
r234_a234,392,73,15.698924731182796
