,0,Missclassifications,Error
a2,249,216,46.45161290322581
a3,214,251,53.97849462365591
a4,170,295,63.44086021505377
a23,289,176,37.8494623655914
a24,294,171,36.774193548387096
a34,259,206,44.30107526881721
a234,320,145,31.182795698924732
r2,388,77,16.559139784946236
r3,388,77,16.559139784946236
r4,366,99,21.29032258064516
r23,393,72,15.483870967741936
r24,396,69,14.838709677419356
r34,387,78,16.774193548387096
r234,395,70,15.053763440860216
r2_a2,391,74,15.913978494623656
r2_a23,394,71,15.268817204301076
r2_a24,397,68,14.623655913978494
r2_a234,399,66,14.193548387096774
r23_a2,393,72,15.483870967741936
r23_a23,395,70,15.053763440860216
r23_a24,397,68,14.623655913978494
r23_a234,399,66,14.193548387096774
r234_a2,397,68,14.623655913978494
r234_a23,397,68,14.623655913978494
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
