,0,Missclassifications,Error
a2,247,218,46.88172043010753
a3,208,257,55.26881720430108
a4,168,297,63.87096774193549
a23,278,187,40.215053763440864
a24,284,181,38.924731182795696
a34,249,216,46.45161290322581
a234,312,153,32.903225806451616
r2,387,78,16.774193548387096
r3,388,77,16.559139784946236
r4,368,97,20.86021505376344
r23,395,70,15.053763440860216
r24,396,69,14.838709677419356
r34,389,76,16.344086021505376
r234,396,69,14.838709677419356
r2_a2,393,72,15.483870967741936
r2_a23,391,74,15.913978494623656
r2_a24,395,70,15.053763440860216
r2_a234,394,71,15.268817204301076
r23_a2,398,67,14.408602150537634
r23_a23,398,67,14.408602150537634
r23_a24,399,66,14.193548387096774
r23_a234,398,67,14.408602150537634
r234_a2,397,68,14.623655913978494
r234_a23,397,68,14.623655913978494
r234_a24,396,69,14.838709677419356
r234_a234,397,68,14.623655913978494
