,0,Missclassifications,Error
a2,235,230,49.46236559139785
a3,189,276,59.35483870967742
a4,158,307,66.02150537634408
a23,283,182,39.13978494623656
a24,279,186,40.0
a34,244,221,47.52688172043011
a234,307,158,33.97849462365591
r2,386,79,16.989247311827956
r3,387,78,16.774193548387096
r4,367,98,21.0752688172043
r23,393,72,15.483870967741936
r24,394,71,15.268817204301076
r34,386,79,16.989247311827956
r234,397,68,14.623655913978494
r2_a2,392,73,15.698924731182796
r2_a23,396,69,14.838709677419356
r2_a24,399,66,14.193548387096774
r2_a234,399,66,14.193548387096774
r23_a2,393,72,15.483870967741936
r23_a23,395,70,15.053763440860216
r23_a24,398,67,14.408602150537634
r23_a234,399,66,14.193548387096774
r234_a2,397,68,14.623655913978494
r234_a23,397,68,14.623655913978494
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
