,0,Missclassifications,Error
a2,334,131,28.172043010752688
a3,319,146,31.397849462365592
a4,283,182,39.13978494623656
a23,363,102,21.935483870967744
a24,349,116,24.946236559139784
a34,333,132,28.387096774193548
a234,377,88,18.9247311827957
r2,388,77,16.559139784946236
r3,388,77,16.559139784946236
r4,366,99,21.29032258064516
r23,393,72,15.483870967741936
r24,396,69,14.838709677419356
r34,388,77,16.559139784946236
r234,397,68,14.623655913978494
r2_a2,397,68,14.623655913978494
r2_a23,400,65,13.978494623655914
r2_a24,400,65,13.978494623655914
r2_a234,401,64,13.763440860215054
r23_a2,397,68,14.623655913978494
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
