,0,Missclassifications,Error
a2,329,136,29.247311827956988
a3,321,144,30.967741935483872
a4,293,172,36.98924731182796
a23,362,103,22.150537634408604
a24,355,110,23.655913978494624
a34,344,121,26.021505376344088
a234,381,84,18.06451612903226
r2,388,77,16.559139784946236
r3,387,78,16.774193548387096
r4,368,97,20.86021505376344
r23,393,72,15.483870967741936
r24,396,69,14.838709677419356
r34,388,77,16.559139784946236
r234,397,68,14.623655913978494
r2_a2,397,68,14.623655913978494
r2_a23,400,65,13.978494623655914
r2_a24,401,64,13.763440860215054
r2_a234,402,63,13.548387096774194
r23_a2,397,68,14.623655913978494
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
