,0,Missclassifications,Error
a2,329,136,29.247311827956988
a3,313,152,32.68817204301075
a4,277,188,40.43010752688172
a23,359,106,22.795698924731184
a24,338,127,27.311827956989248
a34,315,150,32.25806451612903
a234,357,108,23.225806451612904
r2,388,77,16.559139784946236
r3,388,77,16.559139784946236
r4,366,99,21.29032258064516
r23,393,72,15.483870967741936
r24,395,70,15.053763440860216
r34,388,77,16.559139784946236
r234,398,67,14.408602150537634
r2_a2,397,68,14.623655913978494
r2_a23,400,65,13.978494623655914
r2_a24,400,65,13.978494623655914
r2_a234,401,64,13.763440860215054
r23_a2,398,67,14.408602150537634
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
