,0,Missclassifications,Error
a2,325,140,30.107526881720432
a3,315,150,32.25806451612903
a4,281,184,39.56989247311828
a23,363,102,21.935483870967744
a24,351,114,24.516129032258064
a34,330,135,29.032258064516128
a234,373,92,19.78494623655914
r2,389,76,16.344086021505376
r3,387,78,16.774193548387096
r4,368,97,20.86021505376344
r23,394,71,15.268817204301076
r24,396,69,14.838709677419356
r34,388,77,16.559139784946236
r234,398,67,14.408602150537634
r2_a2,397,68,14.623655913978494
r2_a23,400,65,13.978494623655914
r2_a24,399,66,14.193548387096774
r2_a234,400,65,13.978494623655914
r23_a2,399,66,14.193548387096774
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655914
r23_a234,400,65,13.978494623655914
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
