,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,11,3,1,9,10,5,9,14,15,14,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
1,11,6,6,13,9,5,10,11,9,11,12,12,10,13,14,14,13,14,13,13,13,13,13,13,13,13
2,5,1,3,6,7,2,8,1,9,8,4,6,9,8,1,1,1,1,4,4,4,4,8,8,8,8
3,13,3,4,13,9,4,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,9,12,1,14,7,10,13,14,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
5,9,6,2,11,9,8,12,13,3,1,7,5,2,5,14,14,14,14,8,10,10,11,5,5,5,5
6,12,7,3,14,11,9,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,12,9,5,12,10,8,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,11,12,11,14,15,14,14,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,6,10,5,10,8,10,12,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,4,7,13,8,13,14,15,13,14,15,14,15,15,15,13,13,13,13,14,14,15,15,15,15,15,15
12,7,8,8,11,9,9,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,14,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
15,8,2,11,5,14,12,13,9,12,11,12,13,13,13,10,10,14,14,12,12,13,13,13,13,13,13
16,13,13,2,14,12,10,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,11,15,11,14,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,10,12,7,14,12,10,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,2,2,9,1,12,12,13,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
21,7,0,1,7,5,1,5,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,4,0,3,4,4,2,4,15,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,3,1,9,2,13,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,4,7,1,7,7,8,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,4,4,0,5,7,3,6,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,1,0,8,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,5,6,7,7,7,10,12,15,15,15,15,15,15,13,14,14,14,14,14,15,15,15,15,15,15
28,11,8,4,13,11,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
29,5,2,2,2,6,4,5,14,14,12,15,15,14,15,14,14,15,15,15,15,15,15,15,15,15,15
30,13,15,2,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
