,0,Missclassifications,Error
a2,241,224,48.17204301075269
a3,198,267,57.41935483870968
a4,164,301,64.73118279569893
a23,275,190,40.86021505376344
a24,286,179,38.494623655913976
a34,251,214,46.02150537634409
a234,321,144,30.967741935483872
r2,384,81,17.419354838709676
r3,387,78,16.774193548387096
r4,368,97,20.86021505376344
r23,392,73,15.698924731182796
r24,394,71,15.268817204301076
r34,387,78,16.774193548387096
r234,397,68,14.623655913978494
r2_a2,390,75,16.129032258064516
r2_a23,391,74,15.913978494623656
r2_a24,395,70,15.053763440860216
r2_a234,396,69,14.838709677419356
r23_a2,393,72,15.483870967741936
r23_a23,395,70,15.053763440860216
r23_a24,398,67,14.408602150537634
r23_a234,399,66,14.193548387096774
r234_a2,397,68,14.623655913978494
r234_a23,397,68,14.623655913978494
r234_a24,397,68,14.623655913978494
r234_a234,397,68,14.623655913978494
