,0,Missclassifications,Error
a2,325,95,22.619047619047617
a3,311,109,25.952380952380953
a4,285,135,32.14285714285714
a23,360,60,14.285714285714285
a24,345,75,17.857142857142858
a34,318,102,24.285714285714285
a234,358,62,14.761904761904761
r2,388,32,7.619047619047619
r3,387,33,7.857142857142857
r4,369,51,12.142857142857142
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,396,24,5.7142857142857135
r2_a23,398,22,5.238095238095238
r2_a24,399,21,5.0
r2_a234,398,22,5.238095238095238
r23_a2,398,22,5.238095238095238
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
