,0,Missclassifications,Error
a2,322,98,23.333333333333332
a3,315,105,25.0
a4,280,140,33.33333333333333
a23,354,66,15.714285714285714
a24,346,74,17.619047619047617
a34,319,101,24.047619047619047
a234,362,58,13.809523809523808
r2,389,31,7.3809523809523805
r3,388,32,7.619047619047619
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,397,23,5.476190476190476
r2_a23,397,23,5.476190476190476
r2_a24,397,23,5.476190476190476
r2_a234,398,22,5.238095238095238
r23_a2,398,22,5.238095238095238
r23_a23,400,20,4.761904761904762
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
