,0,Missclassifications,Error
a2,326,94,22.38095238095238
a3,314,106,25.238095238095237
a4,285,135,32.14285714285714
a23,358,62,14.761904761904761
a24,346,74,17.619047619047617
a34,317,103,24.523809523809522
a234,363,57,13.571428571428571
r2,389,31,7.3809523809523805
r3,388,32,7.619047619047619
r4,367,53,12.619047619047619
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,397,23,5.476190476190476
r2_a23,398,22,5.238095238095238
r2_a24,400,20,4.761904761904762
r2_a234,398,22,5.238095238095238
r23_a2,399,21,5.0
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
