,0,Missclassifications,Error
a2,322,98,23.333333333333332
a3,313,107,25.476190476190474
a4,288,132,31.428571428571427
a23,358,62,14.761904761904761
a24,343,77,18.333333333333332
a34,321,99,23.57142857142857
a234,360,60,14.285714285714285
r2,387,33,7.857142857142857
r3,388,32,7.619047619047619
r4,367,53,12.619047619047619
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,396,24,5.7142857142857135
r2_a23,398,22,5.238095238095238
r2_a24,397,23,5.476190476190476
r2_a234,398,22,5.238095238095238
r23_a2,399,21,5.0
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
