,0,Missclassifications,Error
a2,323,97,23.095238095238095
a3,314,106,25.238095238095237
a4,281,139,33.095238095238095
a23,356,64,15.238095238095237
a24,350,70,16.666666666666664
a34,318,102,24.285714285714285
a234,362,58,13.809523809523808
r2,388,32,7.619047619047619
r3,387,33,7.857142857142857
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,389,31,7.3809523809523805
r234,398,22,5.238095238095238
r2_a2,397,23,5.476190476190476
r2_a23,397,23,5.476190476190476
r2_a24,397,23,5.476190476190476
r2_a234,399,21,5.0
r23_a2,397,23,5.476190476190476
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
