,0,Missclassifications,Error
a2,55,365,86.9047619047619
a3,65,355,84.52380952380952
a4,101,319,75.95238095238095
a23,67,353,84.04761904761904
a24,85,335,79.76190476190476
a34,80,340,80.95238095238095
a234,72,348,82.85714285714285
r2,354,66,15.714285714285714
r3,367,53,12.619047619047619
r4,341,79,18.80952380952381
r23,365,55,13.095238095238095
r24,361,59,14.047619047619047
r34,363,57,13.571428571428571
r234,373,47,11.19047619047619
r2_a2,359,61,14.523809523809524
r2_a23,336,84,20.0
r2_a24,338,82,19.523809523809522
r2_a234,307,113,26.9047619047619
r23_a2,371,49,11.666666666666666
r23_a23,364,56,13.333333333333332
r23_a24,367,53,12.619047619047619
r23_a234,362,58,13.809523809523808
r234_a2,375,45,10.714285714285714
r234_a23,375,45,10.714285714285714
r234_a24,373,47,11.19047619047619
r234_a234,370,50,11.904761904761903
