,0,Missclassifications,Error
a2,151,269,64.04761904761905
a3,163,257,61.19047619047619
a4,151,269,64.04761904761905
a23,182,238,56.666666666666664
a24,184,236,56.19047619047619
a34,193,227,54.047619047619044
a234,197,223,53.095238095238095
r2,374,46,10.952380952380953
r3,379,41,9.761904761904761
r4,358,62,14.761904761904761
r23,388,32,7.619047619047619
r24,388,32,7.619047619047619
r34,377,43,10.238095238095237
r234,391,29,6.904761904761904
r2_a2,375,45,10.714285714285714
r2_a23,363,57,13.571428571428571
r2_a24,369,51,12.142857142857142
r2_a234,355,65,15.476190476190474
r23_a2,387,33,7.857142857142857
r23_a23,386,34,8.095238095238095
r23_a24,384,36,8.571428571428571
r23_a234,381,39,9.285714285714285
r234_a2,390,30,7.142857142857142
r234_a23,387,33,7.857142857142857
r234_a24,388,32,7.619047619047619
r234_a234,385,35,8.333333333333332
