,0,Missclassifications,Error
a2,252,168,40.0
a3,215,205,48.80952380952381
a4,165,255,60.71428571428571
a23,289,131,31.19047619047619
a24,291,129,30.71428571428571
a34,252,168,40.0
a234,319,101,24.047619047619047
r2,389,31,7.3809523809523805
r3,387,33,7.857142857142857
r4,364,56,13.333333333333332
r23,392,28,6.666666666666666
r24,396,24,5.7142857142857135
r34,386,34,8.095238095238095
r234,396,24,5.7142857142857135
r2_a2,392,28,6.666666666666666
r2_a23,394,26,6.19047619047619
r2_a24,397,23,5.476190476190476
r2_a234,399,21,5.0
r23_a2,393,27,6.428571428571428
r23_a23,396,24,5.7142857142857135
r23_a24,397,23,5.476190476190476
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
