,0,Missclassifications,Error
a2,251,169,40.238095238095234
a3,209,211,50.238095238095234
a4,166,254,60.476190476190474
a23,279,141,33.57142857142857
a24,283,137,32.61904761904762
a34,245,175,41.666666666666664
a234,312,108,25.71428571428571
r2,388,32,7.619047619047619
r3,388,32,7.619047619047619
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,389,31,7.3809523809523805
r234,396,24,5.7142857142857135
r2_a2,392,28,6.666666666666666
r2_a23,390,30,7.142857142857142
r2_a24,396,24,5.7142857142857135
r2_a234,395,25,5.952380952380952
r23_a2,397,23,5.476190476190476
r23_a23,398,22,5.238095238095238
r23_a24,399,21,5.0
r23_a234,399,21,5.0
r234_a2,396,24,5.7142857142857135
r234_a23,397,23,5.476190476190476
r234_a24,395,25,5.952380952380952
r234_a234,397,23,5.476190476190476
