,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,11,2,0,11,8,0,9,14,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15
1,13,6,3,14,10,4,10,13,10,9,13,12,11,13,14,14,14,14,13,13,13,13,13,13,13,13
2,8,1,3,7,7,2,7,1,9,8,4,6,9,8,1,1,1,1,5,5,5,5,8,8,8,8
3,15,3,3,14,10,2,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,11,14,2,14,9,11,13,14,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
5,6,5,5,10,8,8,9,14,3,1,7,5,2,5,15,15,15,15,7,9,9,10,5,5,5,5
6,11,5,8,14,13,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,13,8,1,13,10,7,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,12,11,6,14,13,11,14,15,15,12,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15
9,6,9,3,15,10,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,6,10,15,10,15,15,15,13,14,15,14,15,15,15,13,14,15,14,14,14,15,15,15,15,15,15
12,4,7,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,5,0,9,7,13,11,13,9,12,10,12,13,13,13,11,12,14,14,12,12,14,14,13,14,14,14
15,14,12,1,14,11,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,11,14,10,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,11,9,5,12,13,11,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,0,4,8,1,8,9,8,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
19,6,2,0,7,4,0,5,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,2,0,3,2,4,4,3,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,4,1,11,2,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,6,4,2,6,5,4,6,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,4,3,0,4,5,3,6,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,4,4,2,5,2,5,6,13,15,15,14,15,15,15,14,14,14,14,14,14,14,14,15,15,15,15
25,12,9,5,13,12,10,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,4,4,4,4,6,6,6,13,14,12,15,15,14,15,13,13,14,14,15,15,15,15,15,15,15,15
27,10,13,2,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
