,0,Missclassifications,Error
a2,238,182,43.33333333333333
a3,189,231,55.0
a4,153,267,63.57142857142857
a23,284,136,32.38095238095238
a24,276,144,34.285714285714285
a34,238,182,43.33333333333333
a234,305,115,27.38095238095238
r2,387,33,7.857142857142857
r3,388,32,7.619047619047619
r4,366,54,12.857142857142856
r23,392,28,6.666666666666666
r24,394,26,6.19047619047619
r34,386,34,8.095238095238095
r234,397,23,5.476190476190476
r2_a2,393,27,6.428571428571428
r2_a23,395,25,5.952380952380952
r2_a24,398,22,5.238095238095238
r2_a234,398,22,5.238095238095238
r23_a2,393,27,6.428571428571428
r23_a23,395,25,5.952380952380952
r23_a24,398,22,5.238095238095238
r23_a234,399,21,5.0
r234_a2,397,23,5.476190476190476
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
