,0,Missclassifications,Error
a2,326,94,22.38095238095238
a3,315,105,25.0
a4,279,141,33.57142857142857
a23,358,62,14.761904761904761
a24,343,77,18.333333333333332
a34,329,91,21.666666666666664
a234,371,49,11.666666666666666
r2,388,32,7.619047619047619
r3,387,33,7.857142857142857
r4,367,53,12.619047619047619
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,397,23,5.476190476190476
r2_a23,398,22,5.238095238095238
r2_a24,398,22,5.238095238095238
r2_a234,398,22,5.238095238095238
r23_a2,398,22,5.238095238095238
r23_a23,400,20,4.761904761904762
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
