,0,Missclassifications,Error
a2,322,98,23.333333333333332
a3,317,103,24.523809523809522
a4,286,134,31.9047619047619
a23,357,63,15.0
a24,349,71,16.904761904761905
a34,340,80,19.047619047619047
a234,375,45,10.714285714285714
r2,388,32,7.619047619047619
r3,388,32,7.619047619047619
r4,367,53,12.619047619047619
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,398,22,5.238095238095238
r2_a2,397,23,5.476190476190476
r2_a23,398,22,5.238095238095238
r2_a24,398,22,5.238095238095238
r2_a234,399,21,5.0
r23_a2,397,23,5.476190476190476
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
