,0,Missclassifications,Error
a2,323,97,23.095238095238095
a3,311,109,25.952380952380953
a4,272,148,35.238095238095234
a23,353,67,15.95238095238095
a24,334,86,20.476190476190474
a34,312,108,25.71428571428571
a234,351,69,16.428571428571427
r2,388,32,7.619047619047619
r3,388,32,7.619047619047619
r4,367,53,12.619047619047619
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,397,23,5.476190476190476
r2_a23,398,22,5.238095238095238
r2_a24,398,22,5.238095238095238
r2_a234,398,22,5.238095238095238
r23_a2,398,22,5.238095238095238
r23_a23,401,19,4.523809523809524
r23_a24,401,19,4.523809523809524
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
