,0,Missclassifications,Error
a2,238,182,43.33333333333333
a3,200,220,52.38095238095238
a4,157,263,62.61904761904761
a23,275,145,34.52380952380952
a24,283,137,32.61904761904762
a34,246,174,41.42857142857142
a234,319,101,24.047619047619047
r2,386,34,8.095238095238095
r3,387,33,7.857142857142857
r4,368,52,12.38095238095238
r23,392,28,6.666666666666666
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,390,30,7.142857142857142
r2_a23,391,29,6.904761904761904
r2_a24,395,25,5.952380952380952
r2_a234,396,24,5.7142857142857135
r23_a2,393,27,6.428571428571428
r23_a23,396,24,5.7142857142857135
r23_a24,398,22,5.238095238095238
r23_a234,399,21,5.0
r234_a2,397,23,5.476190476190476
r234_a23,397,23,5.476190476190476
r234_a24,397,23,5.476190476190476
r234_a234,397,23,5.476190476190476
