,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,12,9,5,13,12,12,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,12,8,11,13,13,11,13,13,9,10,13,12,12,13,14,14,14,14,13,13,13,13,13,13,13,13
2,5,0,5,4,8,7,9,1,9,8,4,6,9,8,1,1,1,1,5,5,5,5,8,8,8,8
3,13,7,7,13,12,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,15,15,14,15,15,15,15,14,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15
5,7,8,9,14,13,11,13,13,3,1,8,6,2,5,14,14,14,14,8,11,10,11,5,5,5,5
6,15,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,15,9,6,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,12,12,12,12,12,12,12,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,15,15,14,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,14,15,15,15,15,15,15,13,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,10,14,12,13,13,14,14,10,12,11,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14
15,13,12,9,14,12,13,14,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15
16,14,14,14,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,10,11,9,15,13,12,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,14,14,13,14,14,14,14,14,13,7,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
19,8,5,3,7,9,5,10,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,14,14,13,14,14,13,14,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,8,10,7,9,9,9,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,7,7,2,9,8,7,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,9,7,10,11,9,11,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,13,11,10,14,13,13,14,15,15,15,15,15,15,15,14,14,14,14,15,14,14,14,15,15,15,15
26,3,7,3,7,4,9,7,14,14,13,15,15,14,15,13,13,14,15,15,15,15,15,15,15,15,15
27,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
