,0,Missclassifications,Error
a2,325,95,22.619047619047617
a3,315,105,25.0
a4,284,136,32.38095238095238
a23,359,61,14.523809523809524
a24,353,67,15.95238095238095
a34,341,79,18.80952380952381
a234,374,46,10.952380952380953
r2,388,32,7.619047619047619
r3,387,33,7.857142857142857
r4,370,50,11.904761904761903
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,397,23,5.476190476190476
r2_a23,397,23,5.476190476190476
r2_a24,398,22,5.238095238095238
r2_a234,399,21,5.0
r23_a2,398,22,5.238095238095238
r23_a23,400,20,4.761904761904762
r23_a24,399,21,5.0
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
