,0,Missclassifications,Error
a2,332,88,20.952380952380953
a3,313,107,25.476190476190474
a4,294,126,30.0
a23,355,65,15.476190476190474
a24,349,71,16.904761904761905
a34,336,84,20.0
a234,373,47,11.19047619047619
r2,387,33,7.857142857142857
r3,388,32,7.619047619047619
r4,369,51,12.142857142857142
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,388,32,7.619047619047619
r234,397,23,5.476190476190476
r2_a2,397,23,5.476190476190476
r2_a23,398,22,5.238095238095238
r2_a24,400,20,4.761904761904762
r2_a234,399,21,5.0
r23_a2,398,22,5.238095238095238
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
