,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,14,7,4,13,13,7,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,11,9,12,12,13,12,14,13,10,10,13,12,12,13,14,14,14,14,13,13,13,13,13,13,13,13
2,4,1,5,5,10,4,10,1,9,8,4,6,9,8,1,1,1,1,5,5,5,5,8,8,8,8
3,13,6,7,12,13,10,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,15,15,14,15,15,15,15,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
5,7,9,10,14,11,11,12,13,3,1,8,6,2,5,14,14,14,14,7,11,10,11,5,5,5,5
6,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,14,8,7,15,15,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,11,12,12,12,12,12,12,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,15,15,15,15,15,15,15,13,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,10,13,12,12,13,14,13,10,12,11,12,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14
15,13,13,10,14,12,13,14,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15
16,14,15,9,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,10,11,8,13,14,11,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,14,14,13,14,14,14,14,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
19,7,4,4,9,8,6,10,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,14,14,13,14,14,14,14,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,13,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,5,11,7,12,7,10,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,9,6,2,10,8,7,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,11,10,8,12,9,8,12,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,14,10,10,13,13,13,14,15,15,15,15,15,15,15,14,14,14,14,15,15,15,14,15,15,15,15
26,5,8,4,7,4,9,8,14,14,12,15,15,14,15,13,13,14,15,15,15,15,15,15,15,15,15
27,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
