,0,Missclassifications,Error
a2,325,95,22.619047619047617
a3,309,111,26.428571428571427
a4,282,138,32.857142857142854
a23,361,59,14.047619047619047
a24,350,70,16.666666666666664
a34,337,83,19.76190476190476
a234,371,49,11.666666666666666
r2,388,32,7.619047619047619
r3,388,32,7.619047619047619
r4,370,50,11.904761904761903
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,389,31,7.3809523809523805
r234,398,22,5.238095238095238
r2_a2,396,24,5.7142857142857135
r2_a23,397,23,5.476190476190476
r2_a24,398,22,5.238095238095238
r2_a234,399,21,5.0
r23_a2,397,23,5.476190476190476
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
