,0,Missclassifications,Error
a2,256,164,39.047619047619044
a3,283,137,32.61904761904762
a4,253,167,39.76190476190476
a23,323,97,23.095238095238095
a24,315,105,25.0
a34,303,117,27.857142857142854
a234,322,98,23.333333333333332
r2,333,87,20.71428571428571
r3,350,70,16.666666666666664
r4,345,75,17.857142857142858
r23,351,69,16.428571428571427
r24,364,56,13.333333333333332
r34,357,63,15.0
r234,360,60,14.285714285714285
r2_a2,369,51,12.142857142857142
r2_a23,387,33,7.857142857142857
r2_a24,388,32,7.619047619047619
r2_a234,391,29,6.904761904761904
r23_a2,369,51,12.142857142857142
r23_a23,388,32,7.619047619047619
r23_a24,389,31,7.3809523809523805
r23_a234,392,28,6.666666666666666
r234_a2,376,44,10.476190476190476
r234_a23,386,34,8.095238095238095
r234_a24,387,33,7.857142857142857
r234_a234,390,30,7.142857142857142
