,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,1,6,5,6,8,6,9,7,12,13,12,13,13,13,9,10,11,11,13,14,13,13,14,14,14,14
1,12,1,1,6,6,1,2,0,0,2,0,1,1,0,4,7,8,10,2,6,6,7,2,6,5,8
2,1,2,4,3,7,3,6,0,4,6,1,2,6,3,0,1,2,2,2,2,3,3,3,3,3,3
3,11,11,6,13,12,13,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,10,3,8,9,14,8,11,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,12,9,6,12,10,9,10,12,2,0,4,2,2,2,15,15,15,15,6,7,7,7,2,3,2,3
6,4,7,5,9,10,9,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,15,13,12,15,14,13,14,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,12,10,13,13,14,14,15,14,14,9,14,12,12,14,14,14,15,15,15,15,15,15,15,15,15,15
9,8,13,12,14,12,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,12,13,14,14,14,14,14,2,12,10,9,12,13,12,13,14,14,14,14,14,14,14,14,14,14,14
11,9,14,15,13,15,15,15,6,14,15,14,15,15,14,7,9,12,14,12,13,14,14,14,14,15,15
12,10,6,9,11,11,9,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,11,14,13,14,13,13,13,0,4,4,1,3,5,2,4,14,13,13,2,12,13,14,5,12,13,14
15,14,12,11,15,14,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,7,10,9,7,9,11,12,14,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,1,3,4,3,5,6,5,12,8,6,13,13,8,14,13,13,13,13,13,13,13,13,14,14,14,14
19,13,7,5,14,13,7,13,13,12,9,14,14,11,14,15,15,15,15,15,15,15,15,15,15,15,15
20,5,10,12,11,13,14,14,8,11,11,11,10,11,12,11,15,15,15,12,15,15,15,13,13,14,14
21,5,10,4,9,7,9,10,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,2,5,7,5,6,5,6,15,15,15,15,15,15,15,13,13,12,12,15,15,14,14,15,15,15,15
23,8,11,7,13,10,11,13,15,15,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,5,3,9,6,5,9,7,14,12,13,15,15,15,11,13,14,14,14,14,15,15,15,15,15,15
25,10,12,4,14,6,8,10,14,15,15,14,15,15,15,14,14,14,14,14,15,14,14,15,15,15,15
26,8,12,10,11,12,11,14,15,14,11,14,13,12,13,14,14,13,14,14,14,15,14,14,13,13,14
27,11,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
