,0,Missclassifications,Error
a2,187,233,55.476190476190474
a3,272,148,35.238095238095234
a4,241,179,42.61904761904761
a23,261,159,37.857142857142854
a24,259,161,38.33333333333333
a34,273,147,35.0
a234,284,136,32.38095238095238
r2,345,75,17.857142857142858
r3,366,54,12.857142857142856
r4,347,73,17.38095238095238
r23,368,52,12.38095238095238
r24,372,48,11.428571428571427
r34,372,48,11.428571428571427
r234,379,41,9.761904761904761
r2_a2,373,47,11.19047619047619
r2_a23,373,47,11.19047619047619
r2_a24,381,39,9.285714285714285
r2_a234,375,45,10.714285714285714
r23_a2,384,36,8.571428571428571
r23_a23,387,33,7.857142857142857
r23_a24,390,30,7.142857142857142
r23_a234,386,34,8.095238095238095
r234_a2,383,37,8.809523809523808
r234_a23,391,29,6.904761904761904
r234_a24,388,32,7.619047619047619
r234_a234,390,30,7.142857142857142
