,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,7,15,6,14,14,11,15,7,15,15,13,15,15,15,13,15,14,15,15,15,15,15,15,15,15,15
1,11,2,3,12,6,3,6,2,1,7,2,2,4,2,6,12,13,12,5,10,12,13,6,9,12,12
2,1,5,3,3,2,6,5,0,8,6,1,3,7,4,0,2,3,3,2,3,3,3,4,7,7,9
3,13,13,13,14,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,5,10,14,14,15,13,15,13,14,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,13,8,7,13,11,5,10,12,2,1,5,2,2,2,14,15,14,14,6,7,5,7,3,4,4,4
6,5,11,5,14,9,10,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,6,14,9,13,9,14,13,14,15,14,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
8,13,12,15,15,15,15,15,13,13,13,14,14,14,14,14,15,15,15,14,14,15,15,14,14,15,15
9,4,12,13,11,14,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,10,14,14,14,14,14,14,5,12,14,12,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14
11,10,14,15,13,15,15,15,12,13,15,13,15,15,15,13,13,15,15,13,14,15,15,15,15,15,15
12,9,6,12,9,12,10,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,10,14,14,14,14,14,14,4,10,10,8,10,12,12,11,14,14,14,12,14,14,14,13,14,14,14
15,2,9,9,11,8,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,8,15,13,14,12,14,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,7,14,10,14,9,13,14,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
18,0,0,3,1,2,3,3,13,8,6,13,12,8,13,13,12,11,9,13,14,13,12,13,13,13,13
19,1,5,4,2,4,6,4,15,12,9,14,12,12,12,13,12,12,12,13,12,12,12,14,14,15,15
20,11,10,3,13,8,8,12,12,12,11,14,13,12,13,14,14,15,15,14,14,14,14,14,14,14,14
21,2,4,5,5,4,8,6,15,15,15,15,15,15,15,15,14,14,13,15,15,15,15,15,15,15,15
22,3,5,3,5,5,4,4,12,15,15,14,15,15,15,11,11,11,10,14,13,13,13,14,14,13,13
23,2,10,10,6,8,10,8,15,15,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,10,6,10,6,8,10,8,13,13,13,13,14,14,11,14,13,14,14,14,14,14,14,14,15,15
25,9,12,5,14,9,8,10,14,15,14,14,14,15,15,14,14,14,14,14,14,14,15,15,15,15,15
26,2,12,11,11,7,13,12,15,14,12,14,13,13,14,10,13,11,14,14,14,14,14,13,14,13,13
27,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
