,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,11,12,11,12,14,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,14,12,9,14,14,12,13,12,9,10,12,13,10,13,14,14,14,14,13,13,13,14,13,13,13,13
2,8,7,3,10,8,5,10,1,9,7,4,6,9,7,1,2,2,3,5,5,5,5,8,8,8,8
3,14,12,5,15,12,9,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,13,15,13,15,15,15,15,14,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15
5,10,10,8,13,11,11,13,13,3,1,7,6,2,5,13,15,15,15,9,11,11,11,5,5,5,5
6,15,12,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,14,14,14,15,15,14,15,15,15,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,12,15,11,15,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,14,15,15,14,15,15,15,13,14,15,14,15,15,15,14,15,15,15,14,14,15,15,15,15,15,15
12,8,12,9,12,10,11,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,10,12,11,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14
15,11,14,9,13,13,14,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,13,13,11,14,14,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,11,14,12,14,13,14,14,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
19,10,7,5,12,7,7,9,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,15,14,13,15,14,14,15,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,13,13,13,13,15,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,7,8,8,9,11,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,3,7,3,5,2,9,5,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,6,4,9,7,8,8,15,14,14,15,15,15,15,14,15,15,15,14,15,15,15,15,15,15,15
25,11,14,10,14,13,14,14,15,15,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15
26,6,7,5,8,6,8,9,14,14,12,15,15,14,15,15,14,14,14,15,15,15,15,15,15,15,15
27,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
