,0,Missclassifications,Error
a2,326,94,22.38095238095238
a3,340,80,19.047619047619047
a4,284,136,32.38095238095238
a23,364,56,13.333333333333332
a24,346,74,17.619047619047617
a34,350,70,16.666666666666664
a234,369,51,12.142857142857142
r2,389,31,7.3809523809523805
r3,386,34,8.095238095238095
r4,365,55,13.095238095238095
r23,392,28,6.666666666666666
r24,396,24,5.7142857142857135
r34,386,34,8.095238095238095
r234,396,24,5.7142857142857135
r2_a2,397,23,5.476190476190476
r2_a23,401,19,4.523809523809524
r2_a24,400,20,4.761904761904762
r2_a234,402,18,4.285714285714286
r23_a2,397,23,5.476190476190476
r23_a23,400,20,4.761904761904762
r23_a24,401,19,4.523809523809524
r23_a234,402,18,4.285714285714286
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
