,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,12,10,6,14,11,8,13,14,15,15,15,15,15,15,14,15,14,14,15,15,15,15,15,15,15,15
1,13,11,11,13,14,13,14,11,8,10,12,12,11,12,14,14,14,14,13,13,13,14,13,13,13,13
2,6,8,6,9,7,7,11,1,9,6,4,6,8,7,1,2,1,2,4,4,5,5,7,7,7,7
3,14,9,7,14,10,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,14,10,9,15,14,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
5,7,13,8,13,10,10,12,13,3,1,8,6,2,5,14,15,15,15,10,10,10,11,5,5,5,5
6,15,12,9,14,14,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,14,14,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,15,14,13,15,15,15,15,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,11,15,11,15,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,12,15,15,15,15,15,15,13,14,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
12,5,11,13,13,11,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,11,12,12,12,13,14,14,13,14,14,14,14,14,14,14,14,14,14,14
15,13,15,8,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,12,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,9,10,10,11,12,13,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,9,13,12,13,11,13,13,14,13,6,14,14,11,14,13,14,14,14,14,14,14,14,14,14,14,14
19,9,4,3,12,9,2,11,15,15,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
20,13,12,12,13,13,13,13,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,11,9,12,13,15,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,4,7,7,8,9,6,7,14,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15,15,15
23,2,8,2,9,6,7,8,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,7,5,4,8,7,4,6,14,13,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,14,13,9,14,14,14,14,15,15,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15
26,4,9,6,10,9,11,10,15,14,13,15,15,14,15,14,13,15,14,15,15,15,15,15,15,15,15
27,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
