,0,Missclassifications,Error
a2,301,119,28.333333333333332
a3,318,102,24.285714285714285
a4,278,142,33.80952380952381
a23,363,57,13.571428571428571
a24,343,77,18.333333333333332
a34,329,91,21.666666666666664
a234,363,57,13.571428571428571
r2,388,32,7.619047619047619
r3,384,36,8.571428571428571
r4,367,53,12.619047619047619
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,386,34,8.095238095238095
r234,396,24,5.7142857142857135
r2_a2,395,25,5.952380952380952
r2_a23,400,20,4.761904761904762
r2_a24,400,20,4.761904761904762
r2_a234,400,20,4.761904761904762
r23_a2,399,21,5.0
r23_a23,399,21,5.0
r23_a24,400,20,4.761904761904762
r23_a234,402,18,4.285714285714286
r234_a2,397,23,5.476190476190476
r234_a23,397,23,5.476190476190476
r234_a24,397,23,5.476190476190476
r234_a234,397,23,5.476190476190476
