,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,12,12,6,15,13,12,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,12,10,8,14,12,10,14,13,10,10,13,12,11,12,14,14,14,14,13,14,14,14,13,13,14,14
2,9,4,1,10,9,5,8,1,9,8,4,6,9,8,1,1,1,2,4,4,5,5,8,8,8,8
3,14,12,3,15,12,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,13,9,11,15,14,12,14,14,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15
5,9,10,8,14,9,10,14,14,3,1,7,6,2,5,13,14,14,15,9,11,9,10,4,4,5,5
6,13,13,7,15,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,15,14,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,15,15,14,15,15,14,15,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,6,14,11,15,11,14,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,14,15,15,15,15,15,15,13,14,15,14,15,15,15,14,14,15,15,14,14,15,15,15,15,15,15
12,8,12,13,15,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,9,12,11,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14
15,15,12,10,15,14,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,13,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,14,10,9,15,13,13,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,11,14,11,12,12,14,13,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
19,12,5,6,11,12,7,11,15,15,14,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
20,10,15,13,14,13,14,14,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,13,11,10,13,14,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,4,9,5,7,8,13,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,3,9,9,8,8,11,9,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,7,2,11,5,6,7,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,13,14,5,14,13,12,14,15,15,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15
26,6,9,6,6,7,8,9,13,14,12,15,15,14,14,13,13,14,14,15,15,15,15,14,14,15,15
27,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
