,0,Missclassifications,Error
a2,317,103,24.523809523809522
a3,328,92,21.904761904761905
a4,266,154,36.666666666666664
a23,372,48,11.428571428571427
a24,343,77,18.333333333333332
a34,340,80,19.047619047619047
a234,369,51,12.142857142857142
r2,388,32,7.619047619047619
r3,387,33,7.857142857142857
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,395,25,5.952380952380952
r34,386,34,8.095238095238095
r234,395,25,5.952380952380952
r2_a2,396,24,5.7142857142857135
r2_a23,397,23,5.476190476190476
r2_a24,398,22,5.238095238095238
r2_a234,401,19,4.523809523809524
r23_a2,397,23,5.476190476190476
r23_a23,400,20,4.761904761904762
r23_a24,400,20,4.761904761904762
r23_a234,401,19,4.523809523809524
r234_a2,396,24,5.7142857142857135
r234_a23,396,24,5.7142857142857135
r234_a24,399,21,5.0
r234_a234,399,21,5.0
