,0,Missclassifications,Error
a2,323,97,23.095238095238095
a3,305,115,27.38095238095238
a4,266,154,36.666666666666664
a23,359,61,14.523809523809524
a24,346,74,17.619047619047617
a34,324,96,22.857142857142854
a234,368,52,12.38095238095238
r2,387,33,7.857142857142857
r3,388,32,7.619047619047619
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,389,31,7.3809523809523805
r234,396,24,5.7142857142857135
r2_a2,397,23,5.476190476190476
r2_a23,398,22,5.238095238095238
r2_a24,399,21,5.0
r2_a234,399,21,5.0
r23_a2,397,23,5.476190476190476
r23_a23,399,21,5.0
r23_a24,399,21,5.0
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
