,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,12,10,3,12,12,10,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
1,11,8,12,12,12,11,14,13,10,10,13,12,12,12,14,14,14,14,13,13,13,13,13,13,13,13
2,3,1,5,4,9,5,9,1,9,8,4,6,9,8,1,1,1,1,5,5,5,5,8,8,8,8
3,11,7,5,12,11,11,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,15,15,14,15,15,15,15,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
5,6,8,9,13,11,11,12,13,3,1,8,6,2,5,14,14,14,14,7,11,10,11,5,5,5,5
6,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,15,7,9,15,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,12,12,12,12,12,12,12,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,14,15,15,15,15,15,15,13,14,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,10,14,13,12,13,13,13,10,12,11,12,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14
15,12,12,7,14,12,12,14,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15
16,14,15,12,15,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,12,11,11,13,14,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,14,14,13,14,14,14,14,14,13,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
19,8,5,4,8,9,4,10,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,14,14,13,14,14,15,14,15,15,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,7,10,8,10,9,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
23,7,4,2,11,9,8,12,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,8,11,6,11,9,9,12,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
25,14,12,9,14,13,13,14,15,15,15,15,15,15,15,15,14,14,14,15,15,15,14,15,15,15,15
26,4,8,3,7,3,9,7,14,14,12,15,15,14,15,13,13,14,15,15,15,15,15,15,15,15,15
27,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
