,0,Missclassifications,Error
a2,328,92,21.904761904761905
a3,323,97,23.095238095238095
a4,292,128,30.476190476190474
a23,363,57,13.571428571428571
a24,343,77,18.333333333333332
a34,334,86,20.476190476190474
a234,373,47,11.19047619047619
r2,389,31,7.3809523809523805
r3,388,32,7.619047619047619
r4,368,52,12.38095238095238
r23,393,27,6.428571428571428
r24,396,24,5.7142857142857135
r34,388,32,7.619047619047619
r234,398,22,5.238095238095238
r2_a2,398,22,5.238095238095238
r2_a23,397,23,5.476190476190476
r2_a24,397,23,5.476190476190476
r2_a234,398,22,5.238095238095238
r23_a2,398,22,5.238095238095238
r23_a23,401,19,4.523809523809524
r23_a24,400,20,4.761904761904762
r23_a234,400,20,4.761904761904762
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
