,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,14,11,10,14,12,12,14,14,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
1,14,13,9,14,13,13,14,11,9,10,10,12,10,11,14,14,14,14,13,13,13,13,13,13,13,13
2,5,1,3,7,7,3,9,1,9,7,4,7,9,8,1,1,2,3,4,4,4,5,8,8,8,8
3,12,15,6,15,12,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,13,13,9,15,13,13,15,14,15,15,15,15,15,15,14,14,14,15,15,15,15,15,15,15,15,15
5,10,11,9,14,12,11,13,13,3,1,7,5,2,4,14,15,15,15,8,10,9,10,4,5,5,5
6,14,12,8,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7,13,11,12,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,15,15,14,15,15,15,15,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
9,7,13,11,12,12,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
11,13,15,14,15,15,15,15,13,14,15,13,15,15,15,13,14,15,15,14,14,15,15,15,15,15,15
12,6,12,9,11,10,10,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,9,12,11,12,14,13,13,12,14,14,14,13,14,14,14,14,14,14,14
15,13,13,8,15,14,11,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,8,10,12,11,13,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,9,14,14,14,13,14,14,14,12,6,14,14,11,14,14,14,14,14,14,14,14,14,14,14,14,14
19,10,5,0,11,9,7,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,10,14,12,14,12,13,14,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
21,5,12,14,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,6,4,5,4,8,5,6,15,15,15,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15
23,6,9,4,9,9,8,10,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,12,9,5,12,10,7,10,12,15,14,15,15,15,15,13,15,14,15,15,15,15,15,15,15,15,15
25,14,13,5,14,14,13,14,15,15,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15
26,2,7,4,8,6,8,9,15,14,12,15,15,14,15,14,14,14,14,15,15,15,15,15,15,15,15
27,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
