,0,Missclassifications,Error
a2,304,116,27.619047619047617
a3,325,95,22.619047619047617
a4,270,150,35.714285714285715
a23,359,61,14.523809523809524
a24,345,75,17.857142857142858
a34,334,86,20.476190476190474
a234,370,50,11.904761904761903
r2,385,35,8.333333333333332
r3,386,34,8.095238095238095
r4,366,54,12.857142857142856
r23,389,31,7.3809523809523805
r24,396,24,5.7142857142857135
r34,386,34,8.095238095238095
r234,394,26,6.19047619047619
r2_a2,392,28,6.666666666666666
r2_a23,399,21,5.0
r2_a24,399,21,5.0
r2_a234,401,19,4.523809523809524
r23_a2,395,25,5.952380952380952
r23_a23,398,22,5.238095238095238
r23_a24,398,22,5.238095238095238
r23_a234,400,20,4.761904761904762
r234_a2,397,23,5.476190476190476
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,398,22,5.238095238095238
