subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s002,1,1,0.16,0.4,0.24,0.16,0.16,0.0,0.08,0.24,0.16,0.16,1.2,1.04,0.08,1.6,1.52,0.08,0.8,0.72,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.4,0.32,0.08,0.32,0.24,0.0
s002,1,2,0.08,0.4,0.32,0.0,0.08,0.08,0.08,0.08,0.0,0.16,1.2,1.04,0.08,0.88,0.8,0.08,0.72,0.64,0.16,0.16,0.0,0.16,0.32,0.16,0.08,0.24,0.16,0.08,0.24,0.16,0.08
s002,1,3,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.08,1.04,0.96,0.08,0.56,0.48,0.16,0.72,0.56,0.16,0.32,0.16,0.16,0.24,0.08,0.08,0.24,0.16,0.16,0.32,0.16,0.08
s002,1,4,0.16,0.24,0.08,0.08,0.24,0.16,0.08,0.16,0.08,0.16,1.12,0.96,0.08,1.28,1.2,0.08,0.72,0.64,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.24,0.16,0.08,0.32,0.24,0.08
s002,1,5,0.16,0.24,0.08,0.16,0.16,0.0,0.16,0.24,0.08,0.0,0.8,0.8,0.16,0.88,0.72,0.16,0.8,0.64,0.0,0.24,0.24,0.08,0.08,0.0,0.16,0.24,0.08,0.16,0.32,0.16,0.0
s002,1,6,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.0,0.88,0.88,0.08,1.12,1.04,0.24,0.4,0.16,0.16,0.16,0.0,0.08,0.08,0.0,0.16,0.32,0.16,0.0,0.24,0.24,0.08
s002,1,7,0.08,0.24,0.16,0.08,0.08,0.0,0.16,0.16,0.0,0.08,0.8,0.72,0.08,1.28,1.2,0.08,0.32,0.24,0.08,0.08,0.0,0.16,0.16,0.0,0.0,0.16,0.16,0.08,0.24,0.16,0.08
s002,1,8,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.64,0.56,0.16,1.12,0.96,0.16,0.4,0.24,0.08,0.08,0.0,0.08,0.08,0.0,0.16,0.24,0.08,0.16,0.32,0.16,0.0
s002,1,9,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.72,0.64,0.08,0.88,0.8,0.16,0.32,0.16,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.32,0.24,0.08
s002,1,10,0.08,0.16,0.08,0.08,0.16,0.08,0.0,0.16,0.16,0.08,0.72,0.64,0.08,0.8,0.72,0.08,0.32,0.24,0.16,0.16,0.0,0.16,0.16,0.0,0.16,0.16,0.0,0.16,0.4,0.24,0.08
s002,1,11,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.0,0.72,0.72,0.0,0.8,0.8,0.16,0.24,0.08,0.16,0.16,0.0,0.24,0.16,-0.08,0.08,0.32,0.24,0.16,0.32,0.16,0.08
s002,1,12,0.16,0.24,0.08,0.0,0.16,0.16,0.0,0.16,0.16,0.0,0.88,0.88,0.08,0.72,0.64,0.16,0.48,0.32,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.32,0.16,0.08
s002,1,13,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.72,0.64,0.08,1.12,1.04,0.08,0.32,0.24,0.08,0.24,0.16,0.08,0.08,0.0,0.16,0.4,0.24,0.08,0.24,0.16,0.0
s002,1,14,0.08,0.16,0.08,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.96,0.88,0.0,0.72,0.72,0.08,0.4,0.32,0.08,0.4,0.32,0.08,0.16,0.08,0.08,0.32,0.24,0.08,0.32,0.24,0.08
s002,1,15,0.16,0.32,0.16,0.0,0.16,0.16,0.08,0.08,0.0,0.08,1.36,1.28,0.08,1.12,1.04,0.16,0.64,0.48,0.08,0.24,0.16,0.08,0.0,-0.08,0.16,0.32,0.16,0.0,1.12,1.12,0.08
s002,1,16,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.64,0.56,0.08,0.72,0.64,0.16,0.24,0.08,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.24,0.16,0.08,0.24,0.16,0.0
s002,1,17,0.08,0.08,0.0,0.08,0.24,0.16,0.0,0.08,0.08,0.08,0.8,0.72,0.16,0.88,0.72,0.08,0.32,0.24,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.32,0.16,0.08
s002,1,18,0.16,0.16,0.0,0.16,0.16,0.0,0.16,0.16,0.0,0.16,0.8,0.64,0.08,0.72,0.64,0.08,0.48,0.4,0.08,0.16,0.08,0.08,0.0,-0.08,0.08,0.24,0.16,0.08,0.24,0.16,0.16
s002,1,19,0.16,0.24,0.08,0.0,0.16,0.16,0.08,0.16,0.08,0.16,0.8,0.64,0.08,0.56,0.48,0.08,0.32,0.24,0.08,0.24,0.16,0.08,0.0,-0.08,0.08,0.24,0.16,0.08,0.64,0.56,0.08
s002,1,20,0.16,0.24,0.08,0.08,0.16,0.08,0.0,0.16,0.16,0.0,0.64,0.64,0.08,0.64,0.56,0.16,0.24,0.08,0.16,0.32,0.16,0.08,0.32,0.24,0.08,0.64,0.56,0.16,0.32,0.16,0.08
s002,1,21,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.0,0.72,0.72,0.08,0.56,0.48,0.08,0.24,0.16,0.0,0.24,0.24,0.16,0.16,0.0,0.16,0.32,0.16,0.08,0.16,0.08,0.16
s002,1,22,0.08,0.24,0.16,0.0,0.16,0.16,0.0,0.16,0.16,0.0,0.72,0.72,0.16,0.64,0.48,0.08,0.24,0.16,0.08,0.08,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.32,0.16,0.08
s002,1,23,0.16,0.24,0.08,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.88,0.8,0.08,0.48,0.4,0.16,0.4,0.24,0.08,0.08,0.0,0.16,0.16,0.0,0.08,0.32,0.24,0.08,0.4,0.32,0.0
s002,1,24,0.08,0.16,0.08,0.16,0.16,0.0,0.16,0.24,0.08,0.0,0.8,0.8,0.08,0.64,0.56,0.08,0.24,0.16,0.08,0.32,0.24,0.08,0.08,0.0,0.08,0.24,0.16,0.16,0.32,0.16,0.16
s002,1,25,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.64,0.56,0.16,0.72,0.56,0.08,0.4,0.32,0.0,0.32,0.32,0.16,0.16,0.0,0.16,0.56,0.4,0.08,0.24,0.16,0.16
s002,1,26,0.08,0.08,0.0,0.08,0.24,0.16,0.0,0.08,0.08,0.16,1.2,1.04,0.08,0.64,0.56,0.16,0.48,0.32,0.0,0.16,0.16,0.08,0.48,0.4,0.08,0.32,0.24,0.16,0.32,0.16,0.0
s002,1,27,0.16,0.16,0.0,0.16,0.24,0.08,0.0,0.08,0.08,0.16,0.64,0.48,0.16,0.48,0.32,0.16,0.32,0.16,0.0,0.24,0.24,0.16,0.16,0.0,0.08,0.72,0.64,0.08,0.32,0.24,0.08
s002,1,28,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.64,0.56,0.08,0.8,0.72,0.08,0.24,0.16,0.0,0.08,0.08,0.08,0.16,0.08,0.16,0.24,0.08,0.08,0.4,0.32,0.08
s002,1,29,0.08,0.24,0.16,0.0,0.08,0.08,0.08,0.16,0.08,0.0,0.8,0.8,0.16,0.72,0.56,0.16,0.32,0.16,0.16,0.16,0.0,0.16,0.24,0.08,0.0,0.24,0.24,0.08,0.48,0.4,0.08
s002,1,30,0.16,0.16,0.0,0.08,0.16,0.08,0.0,0.16,0.16,0.0,0.56,0.56,0.08,0.56,0.48,0.08,0.24,0.16,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.4,0.32,0.0,0.24,0.24,0.08
s002,1,31,0.16,0.32,0.16,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.88,0.72,0.0,0.4,0.4,0.08,0.32,0.24,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.24,0.16,0.16,0.32,0.16,0.0
s002,1,32,0.08,0.16,0.08,0.08,0.16,0.08,0.0,0.16,0.16,0.0,1.04,1.04,0.16,0.64,0.48,0.08,0.16,0.08,0.16,0.16,0.0,0.16,0.16,0.0,0.16,0.24,0.08,0.08,0.48,0.4,0.08
s002,1,33,0.16,0.32,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.8,0.72,0.0,0.4,0.4,0.16,0.32,0.16,0.08,0.16,0.08,0.08,0.24,0.16,0.0,0.16,0.16,0.08,0.32,0.24,0.0
s002,1,34,0.08,0.24,0.16,0.08,0.16,0.08,0.0,0.08,0.08,0.08,0.72,0.64,0.0,0.72,0.72,0.08,0.64,0.56,0.08,0.08,0.0,0.16,0.4,0.24,0.16,0.32,0.16,0.08,0.32,0.24,0.0
s002,1,35,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.96,0.88,0.0,0.4,0.4,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.24,0.16,0.16,0.32,0.16,0.0
s002,1,36,0.16,0.24,0.08,0.08,0.16,0.08,0.0,0.08,0.08,0.08,0.8,0.72,0.08,0.96,0.88,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.16,0.08,0.16,0.56,0.4,0.16
s002,1,37,0.08,0.56,0.48,0.08,0.16,0.08,0.16,0.16,0.0,0.16,0.8,0.64,0.0,0.64,0.64,0.16,0.24,0.08,0.0,0.08,0.08,0.16,0.32,0.16,0.16,0.32,0.16,0.08,0.24,0.16,0.08
s002,1,38,0.08,0.08,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.08,1.04,0.96,0.16,0.48,0.32,0.16,0.32,0.16,0.08,0.16,0.08,0.08,0.08,0.0,0.16,0.32,0.16,0.08,0.24,0.16,0.16
s002,1,39,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.72,0.64,0.08,0.4,0.32,0.08,0.16,0.08,0.0,0.0,0.0,0.16,0.24,0.08,0.16,0.32,0.16,0.16,0.24,0.08,0.16
s002,1,40,0.08,0.24,0.16,0.08,0.16,0.08,0.0,0.16,0.16,0.0,0.88,0.88,0.08,0.56,0.48,0.16,0.32,0.16,0.0,0.16,0.16,0.08,0.16,0.08,0.0,0.24,0.24,0.16,0.4,0.24,0.08
s002,1,41,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.08,0.0,0.16,0.8,0.64,0.08,0.48,0.4,0.16,0.16,0.0,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.16,0.08,0.16,0.4,0.24,0.0
s002,1,42,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.16,0.08,0.08,1.04,0.96,0.08,0.48,0.4,0.08,0.16,0.08,0.08,0.08,0.0,0.16,0.16,0.0,0.16,0.24,0.08,0.16,0.32,0.16,0.08
s002,1,43,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.56,0.48,0.08,0.48,0.4,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.32,0.24,0.16,0.4,0.24,0.0
s002,1,44,0.08,0.16,0.08,0.16,0.24,0.08,0.08,0.08,0.0,0.08,1.04,0.96,0.0,0.4,0.4,0.16,0.8,0.64,0.08,0.4,0.32,0.08,0.24,0.16,0.08,0.24,0.16,0.16,0.4,0.24,0.08
s002,1,45,0.08,0.24,0.16,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.96,0.88,0.08,0.48,0.4,0.08,0.16,0.08,0.16,0.24,0.08,0.16,0.24,0.08,0.08,0.24,0.16,0.08,0.48,0.4,0.08
s002,1,46,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.72,0.64,0.16,0.56,0.4,0.08,0.32,0.24,0.08,0.08,0.0,0.16,0.16,0.0,0.16,0.32,0.16,0.08,0.24,0.16,0.16
s002,1,47,0.16,0.16,0.0,0.16,0.24,0.08,0.08,0.08,0.0,0.08,1.28,1.2,0.08,0.72,0.64,0.16,0.32,0.16,0.08,0.24,0.16,0.08,0.24,0.16,0.08,0.24,0.16,0.08,0.24,0.16,0.16
s002,1,48,0.16,0.64,0.48,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.64,0.56,0.16,0.48,0.32,0.08,0.32,0.24,0.08,0.08,0.0,0.08,0.24,0.16,0.0,0.16,0.16,0.16,0.32,0.16,0.08
s002,1,49,0.16,0.32,0.16,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.8,0.72,0.08,0.48,0.4,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.24,0.16,0.0,0.16,0.16,0.08,0.24,0.16,0.08
s002,1,50,0.16,0.24,0.08,0.08,0.24,0.16,0.08,0.24,0.16,0.08,1.28,1.2,0.0,0.8,0.8,0.08,0.24,0.16,0.0,0.16,0.16,0.08,0.08,0.0,0.16,0.32,0.16,0.0,0.24,0.24,0.08
s002,2,1,0.16,0.48,0.32,0.16,0.16,0.0,0.16,0.24,0.08,0.08,1.36,1.28,0.08,0.96,0.88,0.16,0.32,0.16,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.16,0.08,0.16,0.32,0.16,0.08
s002,2,2,0.16,0.32,0.16,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.64,0.56,0.08,0.8,0.72,0.08,0.24,0.16,0.16,0.16,0.0,0.08,0.08,0.0,0.08,0.16,0.08,0.16,0.24,0.08,0.16
s002,2,3,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.96,0.88,0.0,0.64,0.64,0.16,0.32,0.16,0.16,0.16,0.0,0.08,0.16,0.08,0.0,0.16,0.16,0.0,0.24,0.24,0.0
s002,2,4,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.56,0.48,0.16,0.96,0.8,0.08,0.24,0.16,0.16,0.16,0.0,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.24,0.16,0.0
