,0,Missclassifications,Error
a2,329,136,29.24731182795699
a3,321,144,30.967741935483872
a4,293,172,36.98924731182795
a23,362,103,22.1505376344086
a24,355,110,23.655913978494624
a34,344,121,26.021505376344084
a234,381,84,18.064516129032256
r2,388,77,16.559139784946236
r3,388,77,16.559139784946236
r4,368,97,20.86021505376344
r23,393,72,15.483870967741936
r24,396,69,14.838709677419354
r34,389,76,16.344086021505376
r234,398,67,14.408602150537634
r2_a2,397,68,14.623655913978496
r2_a23,400,65,13.978494623655912
r2_a24,401,64,13.763440860215054
r2_a234,402,63,13.548387096774196
r23_a2,397,68,14.623655913978496
r23_a23,401,64,13.763440860215054
r23_a24,400,65,13.978494623655912
r23_a234,400,65,13.978494623655912
r234_a2,398,67,14.408602150537634
r234_a23,398,67,14.408602150537634
r234_a24,398,67,14.408602150537634
r234_a234,398,67,14.408602150537634
