[user] [failure rate    ]  | ['  0', '  1', '  2', '  3', '  4', '  5', '  6', '  7', '  8', '  9', ' 10', ' 11', ' 12', ' 13', ' 14', ' 15', ' 16', ' 17', ' 18', ' 19', ' 20', ' 21', ' 22', ' 23', ' 24', ' 25', ' 26', ' 27', ' 28', ' 29', ' 30']
[   0] [failures:  4.38%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  3', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', ' 19']
[   1] [failures:  8.95%]  | ['  0', '  0', '  0', '  1', '  1', '  0', '  0', '  0', '  6', ' 12', '  8', '  0', '  0', '  0', '  0', '  4', '  1', '  0', '  1', ' 10', '  0', '  0', '  1', '  1', '  0', '  1', '  0', '  0', '  0', '  0', '  0']
[   2] [failures: 24.76%]  | ['  4', '  0', '  0', '  0', '  4', '  0', '  0', '  2', '  0', ' 19', '  0', '  0', ' 72', '  0', '  1', '  0', '  3', '  0', '  1', '  0', '  1', '  0', '  0', '  0', '  2', '  5', '  0', '  0', '  1', '  0', ' 15']
[   3] [failures:  2.67%]  | ['  1', '  4', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  3', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  3', '  0', '  1', '  0', '  0', '  0']
[   4] [failures:  4.19%]  | ['  0', '  2', '  0', '  2', '  0', '  0', '  3', '  3', '  0', '  1', '  0', '  0', '  0', '  0', '  1', '  0', '  4', '  0', '  0', '  1', '  1', '  0', '  1', '  0', '  0', '  0', '  0', '  1', '  2', '  0', '  0']
[   5] [failures: 10.29%]  | ['  1', '  0', '  0', '  3', '  0', '  0', '  0', '  0', '  0', '  3', '  0', '  4', '  6', '  0', '  0', '  0', ' 26', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', '  4', '  0', '  4', '  0', '  0', '  2']
[   6] [failures:  4.19%]  | ['  0', '  1', '  0', '  1', ' 14', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  4', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[   7] [failures:  3.24%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 12', '  0', '  3', '  0', '  0', '  0', '  0', '  0', '  0', '  2', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[   8] [failures:  0.57%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  2', '  0', '  0', '  0', '  0', '  0', '  0']
[   9] [failures:   6.1%]  | ['  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 23', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  6', '  0', '  0', '  0', '  0', '  0', '  0', '  1']
[  10] [failures:  6.86%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 34', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', '  0']
[  11] [failures: 18.29%]  | ['  2', '  0', '  0', '  0', '  0', '  2', '  0', '  0', '  0', ' 20', '  2', '  0', '  0', '  0', '  0', '  0', ' 70', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  12] [failures:  1.71%]  | ['  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  1', '  6', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
