user,means_mean,meadians_means,stds_mean
0,820,774,150
1,534,512,82
2,2678,2185,1353
3,682,637,171
4,602,568,124
5,1122,1084,138
6,599,568,126
7,531,501,122
8,827,790,144
9,814,773,157
10,410,392,63
11,1299,1225,287
12,1490,1398,322
13,1160,1113,181
14,927,871,203
15,589,564,91
16,802,762,167
17,532,505,103
18,526,512,58
19,573,547,114
20,693,667,97
21,788,741,168
22,689,646,128
23,1114,1044,233
24,621,595,109
25,786,736,174
26,907,865,147
27,702,664,138
28,1319,1236,279
29,503,485,77
30,1144,1052,300
