,Sucessfull,Missclassifications,Error
a2,325.0,140.0,30.107526881720432
a3,343.0,122.0,26.236559139784948
a4,301.0,164.0,35.26881720430107
r2,401.0,64.0,13.763440860215054
r3,409.0,56.0,12.043010752688172
r4,403.0,62.0,13.333333333333334
a23,367.0,98.0,21.0752688172043
a34,348.0,117.0,25.161290322580644
a234,377.0,88.0,18.9247311827957
r23,410.0,55.0,11.827956989247312
r34,407.0,58.0,12.473118279569892
r234,414.0,51.0,10.967741935483872
r2_a2,409.0,56.0,12.043010752688172
r3_a3,412.0,53.0,11.397849462365592
r4_a4,407.0,58.0,12.473118279569892
r23_a23,412.0,53.0,11.397849462365592
r34_a34,412.0,53.0,11.397849462365592
r24_a24,412.0,53.0,11.397849462365592
r234_a234,415.0,50.0,10.75268817204301
r2_a3,409.0,56.0,12.043010752688172
r2_a4,411.0,54.0,11.612903225806452
r3_a2,411.0,54.0,11.612903225806452
r4_a2,407.0,58.0,12.473118279569892
r23_a2,412.0,53.0,11.397849462365592
r23_a3,412.0,53.0,11.397849462365592
r23_a4,413.0,52.0,11.182795698924732
r234_a2,414.0,51.0,10.967741935483872
r234_a3,415.0,50.0,10.75268817204301
r234_a4,415.0,50.0,10.75268817204301
r234_a23,415.0,50.0,10.75268817204301
r2_a234,412.0,53.0,11.397849462365592
r3_a234,413.0,52.0,11.182795698924732
r4_a234,410.0,55.0,11.827956989247312
r23_a234,414.0,51.0,10.967741935483872
r34_a234,414.0,51.0,10.967741935483872
