,Sucessfull,Missclassifications,Error
a2,304.0,161.0,34.623655913978496
a3,315.0,150.0,32.25806451612903
a4,271.0,194.0,41.72043010752688
r2,402.0,63.0,13.548387096774196
r3,410.0,55.0,11.827956989247312
r4,403.0,62.0,13.333333333333334
a23,348.0,117.0,25.161290322580644
a34,320.0,145.0,31.182795698924732
a234,352.0,113.0,24.301075268817204
r23,411.0,54.0,11.612903225806452
r34,406.0,59.0,12.688172043010754
r234,414.0,51.0,10.967741935483872
r2_a2,402.0,63.0,13.548387096774196
r3_a3,412.0,53.0,11.397849462365592
r4_a4,407.0,58.0,12.473118279569892
r23_a23,412.0,53.0,11.397849462365592
r34_a34,413.0,52.0,11.182795698924732
r24_a24,411.0,54.0,11.612903225806452
r234_a234,414.0,51.0,10.967741935483872
r2_a3,408.0,57.0,12.258064516129032
r2_a4,409.0,56.0,12.043010752688172
r3_a2,410.0,55.0,11.827956989247312
r4_a2,407.0,58.0,12.473118279569892
r23_a2,410.0,55.0,11.827956989247312
r23_a3,412.0,53.0,11.397849462365592
r23_a4,412.0,53.0,11.397849462365592
r234_a2,414.0,51.0,10.967741935483872
r234_a3,415.0,50.0,10.75268817204301
r234_a4,413.0,52.0,11.182795698924732
r234_a23,415.0,50.0,10.75268817204301
r2_a234,411.0,54.0,11.612903225806452
r3_a234,413.0,52.0,11.182795698924732
r4_a234,410.0,55.0,11.827956989247312
r23_a234,414.0,51.0,10.967741935483872
r34_a234,415.0,50.0,10.75268817204301
