,Sucessfull,Missclassifications,Error
a2,303.0,162.0,34.83870967741935
a3,313.0,152.0,32.68817204301075
a4,268.0,197.0,42.365591397849464
r2,400.0,65.0,13.978494623655912
r3,409.0,56.0,12.043010752688172
r4,403.0,62.0,13.333333333333334
a23,344.0,121.0,26.021505376344084
a34,315.0,150.0,32.25806451612903
a234,346.0,119.0,25.591397849462368
r23,410.0,55.0,11.827956989247312
r34,406.0,59.0,12.688172043010754
r234,413.0,52.0,11.182795698924732
r2_a2,405.0,60.0,12.903225806451612
r3_a3,412.0,53.0,11.397849462365592
r4_a4,406.0,59.0,12.688172043010754
r23_a23,412.0,53.0,11.397849462365592
r34_a34,412.0,53.0,11.397849462365592
r24_a24,412.0,53.0,11.397849462365592
r234_a234,415.0,50.0,10.75268817204301
r2_a3,409.0,56.0,12.043010752688172
r2_a4,411.0,54.0,11.612903225806452
r3_a2,410.0,55.0,11.827956989247312
r4_a2,407.0,58.0,12.473118279569892
r23_a2,411.0,54.0,11.612903225806452
r23_a3,412.0,53.0,11.397849462365592
r23_a4,413.0,52.0,11.182795698924732
r234_a2,414.0,51.0,10.967741935483872
r234_a3,414.0,51.0,10.967741935483872
r234_a4,415.0,50.0,10.75268817204301
r234_a23,414.0,51.0,10.967741935483872
r2_a234,411.0,54.0,11.612903225806452
r3_a234,412.0,53.0,11.397849462365592
r4_a234,409.0,56.0,12.043010752688172
r23_a234,414.0,51.0,10.967741935483872
r34_a234,414.0,51.0,10.967741935483872
